seed,N,n_tests,n_eff,mean_red,cimd_alpha_mean,cimd_alpha_std,cimd_alpha_cv,ratio_min,ratio_max,ratio_mean,shd_van,prec_van,rec_van,f1_van,shd_bonf,prec_bonf,rec_bonf,f1_bonf,shd_cimd,prec_cimd,rec_cimd,f1_cimd,cimd_time
0,500,106641,33315.088905217286,0.6875958692696309,2.2363845746925113e-06,1.6143383619602337e-06,0.7218518586778372,1.0,27.652927956986854,4.76980574859568,1,1.0,0.9523809523809523,0.975609756097561,3,1.0,0.8571428571428571,0.923076923076923,2,1.0,0.9047619047619048,0.9500000000000001,2.637032985687256
0,1000,106641,35700.13258550311,0.6652307031488536,2.424161066042969e-06,3.4598559615850435e-06,1.427238482644501,1.0,70.60274916692586,5.170299204877766,4,0.9047619047619048,0.9047619047619048,0.9047619047619048,2,1.0,0.9047619047619048,0.9500000000000001,2,1.0,0.9047619047619048,0.9500000000000001,2.8040757179260254
0,2000,106641,37898.77418161461,0.6446134771653059,2.178979324875858e-06,2.776862609408192e-06,1.2743868552155249,1.0,50.55349614113014,4.647370683681727,1,1.0,0.9523809523809523,0.975609756097561,2,1.0,0.9047619047619048,0.9500000000000001,2,1.0,0.9047619047619048,0.9500000000000001,3.4949350357055664
0,3500,106641,40480.7591369058,0.620401542212603,2.2221985042180366e-06,4.833050645918128e-06,2.1748960035497893,1.0,123.27702048667511,4.739549413766312,2,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1.0,0.9523809523809523,0.975609756097561,1,1.0,0.9523809523809523,0.975609756097561,3.184818983078003
0,5000,106641,42832.61054298813,0.5983476285576079,1.9829302471469084e-06,3.3495342369644173e-06,1.6891840960032831,1.0,83.18483331044933,4.229233289719868,2,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1.0,0.9523809523809523,0.975609756097561,1,1.0,0.9523809523809523,0.975609756097561,2.7757058143615723
1,500,106641,24486.05066468271,0.7703880246370278,6.516168445488531e-06,1.6269087720594795e-05,2.4967260832335754,1.0,345.80020741014215,13.897814383906848,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.7513339519500732
1,1000,106641,26563.514164861088,0.7509071167293904,4.251690163694584e-06,4.934501217168847e-06,1.1605975570150486,1.0,67.93459050796424,9.068089814931081,1,0.9166666666666666,1.0,0.9565217391304348,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.0245161056518555
1,2000,106641,31432.49575588712,0.7052494279321544,1.0453089751117035e-05,3.117901451322824e-05,2.982755841151789,1.0,556.1023878858397,22.294558882977434,2,0.8461538461538461,1.0,0.9166666666666666,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.5447750091552734
1,3500,106641,35653.82466508226,0.6656649443920981,1.109634598107923e-05,3.643117695708998e-05,3.283168803425025,1.0,697.0,23.6665086353654,3,0.7857142857142857,1.0,0.88,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.6727712154388428
1,5000,106641,41876.71692662086,0.6073112880916265,8.9462995178463e-06,3.251425100921357e-05,3.6343798845939976,1.0,697.0,19.08084653765295,3,0.7857142857142857,1.0,0.88,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.683784008026123
